ردیف,دسته بندی,محصول,وزن,عیار,فی تهیه اجرت درصدی,اجرت درصدی فروش,فی تهیه اجرت مبلغی,اجرت مبلغی فروش,فی تهیه سنگ,فی فروش سنگ,رنگ,نوع کالا,سایز,کد قدیمی,تصویر
757,کار ساخته بازار,GD01013987,1.62,750.0,3.0,6.5,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260622-269.jpg
758,کار ساخته بازار,GD01013985,1.62,750.0,3.0,6.5,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260622-484.jpg
759,کار ساخته بازار,GD01013983,1.64,750.0,3.0,6.5,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260622-364.jpg
760,کار ساخته بازار,GD01013981,5.94,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260622-167.jpg
761,کار ساخته بازار,GD01013980,5.97,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260622-715.jpg
762,کار ساخته بازار,GD01013979,6.22,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260622-536.jpg
763,کار ساخته بازار,GD01013978,5.88,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260622-464.jpg
764,کار ساخته بازار,GD01013977,6.07,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260621-583.jpg
765,کار ساخته بازار,GD01013961,1.92,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260621-999.jpg
766,کار ساخته بازار,GD01013956 - 277,5.18,750.0,5.2,7.0,0.0,0.0,0.0,0.0,دو رنگ,تک پوش,0.2,,Img20260621-867.jpg
767,کار ساخته بازار,GD01013955 - 277,5.44,750.0,5.2,7.0,0.0,0.0,0.0,0.0,دو رنگ,تک پوش,0.2,,Img20260621-217.jpg
768,کار ساخته بازار,GD01013954 - 277,5.05,750.0,5.2,7.0,0.0,0.0,0.0,0.0,دو رنگ,تک پوش,0.3,,Img20260620-131.jpg
769,کار ساخته بازار,GD01013952,5.45,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,4.0,,Img20260707-895.jpg
770,کار ساخته بازار,GD01013951,5.64,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,4.0,,Img20260620-633.jpg
771,کار ساخته بازار,GD01013950,5.43,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,4.0,,Img20260620-892.jpg
772,کار ساخته بازار,GD01013948,5.55,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,4.0,,Img20260620-953.jpg
773,کار ساخته بازار,GD01013947,5.13,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,4.0,,Img20260620-90.jpg
774,کار ساخته بازار,GD01013946,4.83,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260620-395.jpg
775,کار ساخته بازار,GD01013944,4.87,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260620-320.jpg
776,کار ساخته بازار,GD01013941,4.63,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260620-479.jpg
777,کار ساخته بازار,GD01013938,4.68,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260620-804.jpg
778,کار ساخته بازار,GD01013937,4.78,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260620-993.jpg
779,کار ساخته بازار,GD01013935,4.83,750.0,1.9,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20250619-700.jpg
780,کار ساخته بازار,GD01003433 - تیفانی,5.27,750.0,16.0,17.0,0.0,0.0,0.0,0.0,زرد,سرویس,,,Img20250619-125.jpg
781,کار ساخته بازار,GD01003431 - تیفانی,16.82,750.0,16.0,17.0,0.0,0.0,0.0,0.0,زرد,سرویس,,,Img20260621-60.jpg
782,کار ساخته بازار,GD01013925 - البرنادو,2.26,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260621-300.jpg
783,کار ساخته بازار,GD01013914 - عربی,2.4,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260621-738.jpg
784,کار ساخته بازار,GD01013913 - عربی,2.64,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260617-13.jpg
785,کار ساخته بازار,GD01013906 - 311,3.26,750.0,4.5,7.0,0.0,0.0,0.0,0.0,سفید,النگو,0.5,,Img20260617-1308.jpg
786,کار ساخته بازار,GD01013905 - 609,6.64,750.0,3.7,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-723.jpg
787,کار ساخته بازار,GD01013904 - 922,8.23,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,4.0,,Img20260617-240.jpg
788,کار ساخته بازار,GD01013902 - 219,5.55,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-426.jpg
789,کار ساخته بازار,GD01013900 - 219,5.92,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-281.jpg
790,کار ساخته بازار,GD01013899 - 219,5.72,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-775.jpg
791,کار ساخته بازار,GD01013898 - 219,5.82,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-90.jpg
792,کار ساخته بازار,GD01013897 - لیانا,2.19,750.0,8.0,9.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260617-213.jpg
793,کار ساخته بازار,GD01013895 - لیانا,2.17,750.0,8.0,9.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260617-300.jpg
794,کار ساخته بازار,GD01013891 - AS,2.27,750.0,6.5,8.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260617-226.jpg
795,کار ساخته بازار,GD01013890 - مارپیچ,3.78,750.0,6.3,7.5,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-550.jpg
796,کار ساخته بازار,GD01013889 - مارپیچ,3.9,750.0,6.3,7.5,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-451.jpg
797,کار ساخته بازار,GD01013887 - مارپیچ,3.76,750.0,6.3,7.5,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-23.jpg
798,کار ساخته بازار,GD01013886 - مارپیچ,4.11,750.0,6.3,7.5,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-735.jpg
799,کار ساخته بازار,GD01013884 - مارپیچ,3.49,750.0,6.3,7.5,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260617-800.jpg
800,کار ساخته بازار,GD01013883 - مارپیچ,3.66,750.0,6.3,7.5,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260617-473.jpg
801,کار ساخته بازار,GD01013882 - مارپیچ,3.44,750.0,6.3,7.5,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260617-195.jpg
802,کار ساخته بازار,GD01013879 - البرنادو,2.21,750.0,6.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260707-70.jpg
803,کار ساخته بازار,GD01013877 - هاتف,2.38,750.0,9.2,11.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260617-975.jpg
804,کار ساخته بازار,GD01013875 - دیاکو,4.9,750.0,3.8,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,1.0,,Img20260617-507.jpg
805,کار ساخته بازار,GD01013869 - 10037,5.36,750.0,2.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260617-739.jpg
806,کار ساخته بازار,GD01013868 - 10037,5.36,750.0,2.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260617-849.jpg
807,کار ساخته بازار,GD01013867 - 10037,5.61,750.0,2.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-623.jpg
808,کار ساخته بازار,GD01013866 - 10037,5.66,750.0,2.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-960.jpg
809,کار ساخته بازار,GD01013865 - 10037,5.6,750.0,2.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-404.jpg
810,کار ساخته بازار,GD01013863 - 10037,5.64,750.0,2.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-450.jpg
811,کار ساخته بازار,GD01013862 - 10037,5.96,750.0,2.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260617-115.jpg
